Species List,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Barn Swallow,2322,2679,2349,2331,2632,3418,2674,3085,2280,2422,2550,2366,2844,2031,1870,1989,2245
Carolina Chickadee,108,114,100,112,106,161,149,113,43,65,67,66,101,101,77,82,78
Black-capped Chickadee,130,123,120,120,81,152,132,104,102,84,116,110,199,136,140,148,184
Tufted Titmouse,375,592,544,398,416,431,374,556,469,582,422,511,333,496,478,433,524
White-breasted Nuthatch,179,172,139,140,164,193,171,187,120,139,123,107,205,117,154,123,176
House Wren,692,737,715,602,683,885,827,846,844,960,832,908,824,912,727,715,790
Sedge Wren,9,15,4,8,24,4,23,19,5,6,9,2,3,15,1,0,8
Marsh Wren,2,0,0,0,1,0,1,0,1,1,0,3,0,0,0,0,2
Carolina Wren,267,90,141,253,297,337,481,423,355,445,342,287,287,362,225,151,345
Bewick's Wren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blue-gray Gnatcatcher,113,117,127,142,121,198,139,173,127,212,133,132,128,127,140,154,231
Eastern Bluebird,386,366,531,390,462,592,578,410,304,409,419,276,511,463,257,168,245
Swainson's Thrush,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wood Thrush,101,92,87,94,92,82,79,104,103,89,66,55,72,77,96,101,118
American Robin,6491,7279,7173,7080,6674,7502,6923,6543,6123,6915,7003,7907,7343,7385,6814,6341,7050
Gray Catbird,341,331,292,285,328,349,308,359,334,331,355,401,411,395,337,323,394
Brown Thrasher,342,402,372,429,379,419,365,398,338,374,347,355,324,366,313,258,325
Northern Mockingbird,258,309,340,323,318,372,334,266,208,252,221,221,239,271,197,189,163
European Starling,9175,9268,9202,8319,8692,9645,10645,8935,7003,7989,7154,6435,8445,7728,6292,4797,5421
Cedar Waxwing,226,439,424,443,360,410,295,335,397,477,379,538,376,441,426,385,390
House Sparrow,8653,8676,8624,8086,6897,9579,8774,7286,4498,5278,5157,4998,5630,4577,5578,4469,4133
Eurasian Tree Sparrow,45,57,51,64,38,75,53,59,71,56,66,91,103,52,71,123,104
House Finch,393,386,385,257,266,371,339,247,174,203,173,263,308,332,296,312,281
American Goldfinch,812,1039,878,714,749,987,1066,1073,728,852,867,963,1113,951,871,699,691
Eastern Towhee,139,155,155,134,141,166,172,160,174,189,250,202,210,195,176,178,206
Chipping Sparrow,956,1186,1016,1157,1159,1409,1401,1527,1287,1491,1481,1598,1435,1480,1297,1185,1374
Clay-colored Sparrow,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
